dimension,cle,libelle,detail
MFT_COD,16,TARIFS SERVICES SOINS A DOMICILE FIXES PAR CRAM,
MFT_COD,17,ETS SOINS LONG. DUREE PUB.PRIV. AUTORITE MIXTE ARH/PDT C.G,
MFT_COD,18,ETS CONV.PLURIAN.TRIP.AUTORITE MIXTE A.SS.MAL./ARH/ PDT C.G,
MFT_COD,19,E .H .P .A. D. AUTORITE MIXTE A.SS.MAL./PREFET OU CRAM/ PDT C.G,
MFT_COD,20,E .H .P .A. D  HABILITES AIDE SOCIALE  Option globale,
MFT_COD,21,E .H .P .A. D  HABILITES AIDE SOCIALE HABILITES AIDE SOCIALE  Option partielle,
MFT_COD,22, UNITE DE SOINS DE LONGUE DUREE HABILITES AIDE SOCIALE Option globale,
MFT_COD,23, UNITE DE SOINS DE LONGUE DUREE HABILITES AIDE SOCIALE Option partielle,
MFT_COD,24,E .H .P .A. D ET UNITES DE SOINS DE LONGUE DUREE NON HABILITES AIDE SOCIALE Option globale,
MFT_COD,25,E .H .P .A. D ET UNITES DE SOINS DE LONGUE DUREE NON HABILITES AIDE SOCIALE Option partielle,
MFT_COD,36,Tarifs conventionnel Assurance Maladie,
MFT_COD,40,ARS TG HAS PUI,
MFT_COD,41,ARS TG HAS NPUI,
MFT_COD,42,ARS NHAS PUI,
MFT_COD,43,ARS TG NHAS NPUI,
MFT_COD,44,ARS TP HAS PUI,
MFT_COD,45,ARS TP HAS NPUI,
MFT_COD,46,ARS TP NHAS PUI,
MFT_COD,47,ARS TP NHAS NPUI,
MFT_COD,48,ARS PCG EHPA DGS HAS,
MFT_COD,49,ARS PCG EHPA DGS NHAS,
MFT_COD,50,ARS PCG PUV FS HAS,
MFT_COD,51,ARS PCG PUV FS NHAS,
MFT_COD,99,VALEUR INCONNUE,
MTM_NAT,0,SANS OBJET,
MTM_NAT,1,BENEFICIAIRES DE L'ALLOCATION DE SOLIDARITE AUX PERSONNES AGEES OU DE L'ALLOCATION SUPPLEMENTAIRE D'INVALIDITE,
MTM_NAT,2,REGIME LOCAL ALSACE MOSELLE,
MTM_NAT,3,REGIME LOCAL FRONTALIER,
MTM_NAT,4,REGIME LOCAL ET FONDS NATIONAL DE SOLIDARITE,
MTM_NAT,5,SOINS A L ETRANGER (REGIME MILITAIRE),
MTM_NAT,9,VALEUR INCONNUE,
ORG_CLE_REG,5,Régions et Départements d'outre-mer ,
ORG_CLE_REG,11,Ile-de-France,
ORG_CLE_REG,24,Centre-Val de Loire,
ORG_CLE_REG,27,Bourgogne-Franche-Comté,
ORG_CLE_REG,28,Normandie,
ORG_CLE_REG,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,
ORG_CLE_REG,44,Grand Est,
ORG_CLE_REG,52,Pays de la Loire,
ORG_CLE_REG,53,Bretagne,
ORG_CLE_REG,75,Aquitaine-Limousin-Poitou-Charentes,
ORG_CLE_REG,76,Languedoc-Roussillon-Midi-Pyrénées,
ORG_CLE_REG,84,Auvergne-Rhône-Alpes,
ORG_CLE_REG,93,Provence-Alpes-Côte d'Azur et Corse,
ORG_CLE_REG,99,Inconnu,
ORG_CLE_ZEAT,0,Inconnu,
ORG_CLE_ZEAT,1,Région Parisienne (11),
ORG_CLE_ZEAT,2,"Bassin Parisien (21,22,23,24,25,26)",
ORG_CLE_ZEAT,3,Nord (31),
ORG_CLE_ZEAT,4,"Est (41,42,43)",
ORG_CLE_ZEAT,5,"Ouest (52,53,54)",
ORG_CLE_ZEAT,6,"Sud-Ouest (72,73,74)",
ORG_CLE_ZEAT,7,"Centre-Est (82,83)",
ORG_CLE_ZEAT,8,"Méditerrannée (91,93,94)",
ORG_CLE_ZEAT,9,"Régions et Départements d'outre-mer (01,02,03,04,06)",
PRE_INS_REG,5,Régions et Départements d'outre-mer ,
PRE_INS_REG,11,Ile-de-France,
PRE_INS_REG,24,Centre-Val de Loire,
PRE_INS_REG,27,Bourgogne-Franche-Comté,
PRE_INS_REG,28,Normandie,
PRE_INS_REG,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,
PRE_INS_REG,44,Grand Est,
PRE_INS_REG,52,Pays de la Loire,
PRE_INS_REG,53,Bretagne,
PRE_INS_REG,75,Aquitaine-Limousin-Poitou-Charentes,
PRE_INS_REG,76,Languedoc-Roussillon-Midi-Pyrénées,
PRE_INS_REG,84,Auvergne-Rhône-Alpes,
PRE_INS_REG,93,Provence-Alpes-Côte d'Azur et Corse,
PRE_INS_REG,99,Inconnu,
PRE_INS_ZEAT,0,Inconnu,
PRE_INS_ZEAT,1,Région Parisienne (11),
PRE_INS_ZEAT,2,"Bassin Parisien (21,22,23,24,25,26)",
PRE_INS_ZEAT,3,Nord (31),
PRE_INS_ZEAT,4,"Est (41,42,43)",
PRE_INS_ZEAT,5,"Ouest (52,53,54)",
PRE_INS_ZEAT,6,"Sud-Ouest (72,73,74)",
PRE_INS_ZEAT,7,"Centre-Est (82,83)",
PRE_INS_ZEAT,8,"Méditerrannée (91,93,94)",
PRE_INS_ZEAT,9,"Régions et Départements d'outre-mer (01,02,03,04,06)",
PRS_FJH_TYP,0,REGIME,
PRS_FJH_TYP,1,REGIME LOCAL  ALSACE-MOSELLE,
PRS_FJH_TYP,2,ASSURE,
PRS_FJH_TYP,3,ORGANISME COMPLEMENTAIRE,
PRS_FJH_TYP,8,SANS OBJET,
PRS_FJH_TYP,9,VALEUR INCONNUE,
PRS_NAT,0,SANS OBJET,
PRS_NAT,1039,TELECONSULTATION PEDIATRE 2-6 ANS,TCK
PRS_NAT,1040,TELECONSULTATION PEDIATRE 0-2 ANS,TCH
PRS_NAT,1041,CONSULT. PSYCHIATRE NEUROLOGUE,CP
PRS_NAT,1042,CONSULTATION PEDIATRE 0-2 ANS,CEH
PRS_NAT,1043,CONSULTATION PEDIATRE 2-6 ANS,CEK
PRS_NAT,1044,CONSULTATION PEDIATRE 6 ANS ET +,CEG
PRS_NAT,1045,EXAM PARENTAL GROSSESSE CO-PARENT,EPG
PRS_NAT,1046,TELECONSULTATION SPECIALISTE,TCS
PRS_NAT,1047,CONSULTATION PSYCHIATRE RAPIDE SUITE ORIENTATION SAS OU MTT,MCY
PRS_NAT,1048,CONSULTATION INIT MT ALD,IMT
PRS_NAT,1049,SUPPL. PEDIATRIQUE URGENCE 2,PE2
PRS_NAT,1050,FORFAIT CONSULTATION URGENCE 0,FU0
PRS_NAT,1051,SUPPL. PEDIATRIQUE URGENCE 1,PE1
PRS_NAT,1052,REMU BIOSIMILAIRE,BIO
PRS_NAT,1053,FORFAIT VSM,VSA
PRS_NAT,1054,BILAN MRTC,BTC
PRS_NAT,1055,SUIVI MRTC,STC
PRS_NAT,1056,TELECONSULTATION GENERALISTE IVG,JC
PRS_NAT,1057,TELECONSULTATION SPECIALISTE IVG,JCS
PRS_NAT,1058,EXAMEN OBLIGATOIRE ENFANT COJ,COJ
PRS_NAT,1059,EXAMEN OBLIGATOIRE ENFANT COK,COK
PRS_NAT,1060,MAJORATION GYNECO MEDICALE,MGM
PRS_NAT,1061,MAJORATION PSY ENFANT,MP
PRS_NAT,1062,CDE CONGE PARENTAL,RDC
PRS_NAT,1063,CDE CONGE MALADIE,RDB
PRS_NAT,1064,CDE GARANTIE REVENU 1ERE ANNEE,RDA
PRS_NAT,1065,FORFAIT EFFECTEUR SAS,PDE
PRS_NAT,1066,FORFAIT REGULATEUR SAS,PDR
PRS_NAT,1067,SUPPLEMENT URGENCE CCMU 3,SU3
PRS_NAT,1068,SUPP. AVIS DE SPECIALISTE,SAS
PRS_NAT,1069,SUPP. IMAGERIE EN COUPE,SIC
PRS_NAT,1070,BIO MEDICALE CLASSE AGE 2,SB2
PRS_NAT,1071,BIO MEDICALE CLASSE AGE 3,SB3
PRS_NAT,1072,SUPP. NUIT MEDECIN URGENTISTE,SUN
PRS_NAT,1073,SUPP DIMANCHE/FERIE -URGENTISTE,SUF
PRS_NAT,1074,SUPP NUIT SPE/BIO/IMAGERIE,SSN
PRS_NAT,1075,SUP DIMANCHE/FERIE SPE/BIO/IMAGE,SSF
PRS_NAT,1076,CODE TRACEUR SAS,SNP
PRS_NAT,1077,SUPPLEMENT URGENCE CCMU 2,SU2
PRS_NAT,1078,SUPPLEMENT URGENCE BIOLOGIE,SUB
PRS_NAT,1079,SUPPLEMENT URGENCE IMAGERIE,SIM
PRS_NAT,1080,SUPPLEMENT URGENCE MODE ARRIVEE,SUM
PRS_NAT,1081,FORFAIT CONSULTATION URGENCE 1,FU1
PRS_NAT,1082,FORFAIT CONSULTATION URGENCE 2,FU2
PRS_NAT,1083,FORFAIT CONSULTATION URGENCE 3,FU3
PRS_NAT,1084,FORFAIT CONSULTATION URGENCE 4,FU4
PRS_NAT,1085,CONSULTATION PROTOCOLE COOPERATIF,GCO
PRS_NAT,1086,TELESOINS SF,TFS
PRS_NAT,1087,AIDE ASSISTANT MEDICAL  COMPLEMENT,R7P
PRS_NAT,1088,AIDE ASSISTANT MEDICAL ,P7P
PRS_NAT,1089,EXAMEN OBLIGATOIRE ENFANT COM,COM
PRS_NAT,1090,EXAMEN OBLIGATOIRE ENFANT COH,COH
PRS_NAT,1091,EXAMEN OBLIGATOIRE ENFANT COD,COD
PRS_NAT,1092,EXAMEN OBLIGATOIRE ENFANT COG,COG
PRS_NAT,1093,EXAMEN OBLIGATOIRE ENFANT COB,COB
PRS_NAT,1094,EXAMEN OBLIGATOIRE ENFANT COA,COA
PRS_NAT,1095,MAJORATION SPECIFIQUE MOINS DE 16 ANS MAYOTTE,MTJ
PRS_NAT,1096,TELECONSULTATION MEDECIN TRAITANT AVEC EHPAD,TTE
PRS_NAT,1097,TELE EXPERTISE DOSSIER TRAITANT,TDT
PRS_NAT,1098,CONSULTATION CCMU 3,U03
PRS_NAT,1099,CONSULTATION CCMU 4 ET 5,U45
PRS_NAT,1100,PROTOCOLE MURAINE - BILAN VISUEL ,RNM
PRS_NAT,1101,AVIS PONCTUEL DE CONSULTANT PUPH,APU
PRS_NAT,1102,AVIS PONCTUEL DE CONSULTANT PSYCHIATRE,APY
PRS_NAT,1103,AVIS PONCTUEL DE CONSULTANT,APC
PRS_NAT,1104,CONSULTATION OBLIGATOIRE ENFANT,COE
PRS_NAT,1105,CONSULTATION COMPLEXE,CCX
PRS_NAT,1106,MAJORATION CONSULTATION COMPLEXE,MCX
PRS_NAT,1107,CONSULTATION TRES COMPLEXE ENFANT,CCE
PRS_NAT,1108,MAJORATION CONSULTATION TRES COMPLEXE,MTX
PRS_NAT,1109,CONSULTATION SPECIALISTE MEDECINE GENERALE,GS
PRS_NAT,1110,CONSULTATION MEDECINE GENERALE,G
PRS_NAT,1111,CONSULTATION COTEE C,C
PRS_NAT,1112,CONSULTATION COTEE CS,CS
PRS_NAT,1113,CONSULTATION COTEE CNP,CNP
PRS_NAT,1114,CONSULTATION SPECIFIQUE CARDIOLOGIE,CSC
PRS_NAT,1115,CONSULTATION BILAN,CA
PRS_NAT,1116,MAJORATION FORFAITAIRE TRANSITOIRE,MPC
PRS_NAT,1117,CONSULTATION DES SPECIALISTES COTEE C2,
PRS_NAT,1118,"CONSULTATION DES PSYCHIATRES COTEE C2,5",
PRS_NAT,1119,MAJORATION TRANSITOIRE SPECIFIQUE,MTS
PRS_NAT,1120,COMPLEMENT CONSULTATION SPECIALISTE,CCS
PRS_NAT,1121,HONORAIRE DE SURVEILLANCE,HS
PRS_NAT,1122,EXAMEN SPECIAL (PROTOCOLE),EXS
PRS_NAT,1123,SUITE D  EXAMEN DE SANTE,SES
PRS_NAT,1124,REMUNERATION MEDECIN TRAITANT PAR PATIENT  EN ALD,RMT
PRS_NAT,1125,MAJORATION DE COORDINATION DES GENERALISTES,MCG
PRS_NAT,1126,MAJORATION DE COORDINATION SPECIALISTES,MCS
PRS_NAT,1127,MAJORATION DE COORDINATION CARDIOLOGUES,MCC
PRS_NAT,1128,DIFFERENTIEL REFERENT TRAITANT,DRT
PRS_NAT,1129,MAJORATION FORFAITAIRE TRANSITOIRE (POUR LES MOINS DE 16 ANS),MPJ
PRS_NAT,1130,FORFAIT MEDECIN TRAITANT,FMT
PRS_NAT,1131,MAJORATION CONSULTATION APPAREILLAGE,MTA
PRS_NAT,1132,MAJORATION CONSULTATION ENDOCRINO,MCE
PRS_NAT,1133,MAJORATION GENERALISTE ENFANT,MGE
PRS_NAT,1134,MAJORATION PREMIERE CONSULTATION FAMILLE,MPF
PRS_NAT,1135,MAJORATION CONSULTATION ANNUELLE FAMILLE,MAF
PRS_NAT,1136,MAJORATION ANNUELLE DE SYNTHESE,MAS
PRS_NAT,1137,MAJORATION NOURRISSON,MBB
PRS_NAT,1138,REMUNERATION ADDITIONNELLE CAPI,RAA
PRS_NAT,1139,REMUNERATION DES ADHERENTS AU  CAPI,RAC
PRS_NAT,1140,CONSULTATION SPECIFIQUE DE DEPISTAGE,CDE
PRS_NAT,1141,MAJORATION PEDIATRE ENFANT,MPE
PRS_NAT,1142,REMUNERATION ADHESION SOPHIA (SOINS DE VILLE),RSO
PRS_NAT,1143,REMUNERATION RENOUVELLEMENT SOPHIA (SOINS DE VILLE),RSR
PRS_NAT,1144,REMUNERATION FORFAITAIRE POUR LE SUIVI DES PATIENTS EN POST ALD,RST
PRS_NAT,1145,REMUNERATION OBJECTIF MEDECIN ET CENTRES DE SANTE,P4P
PRS_NAT,1146,REMUNERATION OBJECTIF MEDECIN COMPLEMENT ET CENTRES DE SANTE,R4P
PRS_NAT,1147,CONTESTATION FORFAIT MEDECIN TRAITANT,CFM
PRS_NAT,1148,REMUNERATION FORFAITAIRE PAR CONSULTATION POUR LE SUIVI DES PERSONNES AGEES,MPA
PRS_NAT,1149,CONTESTATION REMUNERATION SUIVI PERSONNES AGEES,CPA
PRS_NAT,1150,REMUNERATION PRATICIENS TERRITORIAUX DE MEDECINE GENERALE ,RPT
PRS_NAT,1152,MAJORATION SUIVI DES ENFANTS GRANDS PREMATURES OU ATTEINTS DE PATHOLOGIE CONGENITALE GRAVE,MPP
PRS_NAT,1153,MAJORATION CONSULTATION POUR INSUFFISANT CARDIAQUE APRES HOSPITALISATION,MIC
PRS_NAT,1154,MAJORATION CONSULTATION SUIVI APRES HOSPITALISATION PATIENTS A FORTE COMORBIDITE,MSH
PRS_NAT,1155,REMU CAS COTISATIONS SOCIALES,COT
PRS_NAT,1156,CONT. CAS COT.SOC.,CCO
PRS_NAT,1157,Acte de téléconsultation,TCP
PRS_NAT,1158,Acte de télé expertise,TEP
PRS_NAT,1159,renouvellement d'optique,RNO
PRS_NAT,1160,TRACAGE COVID,IAS
PRS_NAT,1161,COMPENSATION DE LA PERTE D'ACTIVITE DES PS,CPS
PRS_NAT,1162,REMUNERATION DES PRATICIENS TERRITORIAUX DE MEDECINE AMBULATOIRE,RCM
PRS_NAT,1163,REMUNERATION DEPISTAGE DU CANCER COLORECTAL,KIT
PRS_NAT,1164,TÉLÉ CONSULTATION - ALD ET / OU EHPAD,TLC
PRS_NAT,1165,TÉLÉ EXPERTISE - ALD ET/OU EHPAD,TLE
PRS_NAT,1166,FORFAIT COMPLÉMENTAIRE TÉLÉ EXPERTISE,TEC
PRS_NAT,1167,VERSEMENT DE PENALITE DE RETARD AMO,NRD
PRS_NAT,1168,CONSULTATION PREVENTION SANTE SEXUELLE,CCP
PRS_NAT,1169,REMUNERATION POUR CERTIFICAT DE DECES ,RCD
PRS_NAT,1170,PEC EXCEPTIONNELLE DÉPASSEMENT HONORAIRE,DHE
PRS_NAT,1171,RÉMUNÉRATION MÉDECIN TRAITANT CENTRES DE SANTÉ,CSR
PRS_NAT,1172,TELESURVEILLANCE : PS EFFECTUANT L'ACCOMPAGNEMENT,TSA
PRS_NAT,1173,FORFAIT PATIENTELE MEDECIN TRAITANT,MTF
PRS_NAT,1174,TELESURVEILLANCE : MEDECIN TELESURVEILLANT,TSM
PRS_NAT,1175,PEC EXCEPTIONNELLE DEPASSEMENT HONORAIRE TP,DHT
PRS_NAT,1176,CONTRAT INDIVIDUEL EMBAUCHE - AVANCE,COI
PRS_NAT,1177,AIDE FINANCIERE MATERNITE PATERNITE ADOPTION,AFC
PRS_NAT,1178,FORFAIT STRUCT. MEDECIN,P6P
PRS_NAT,1179,FORFAIT STRUCT. MEDECIN COMPLEMENT,R6P
PRS_NAT,1180,ROSP MT ENFANT,P5P
PRS_NAT,1181,ROSP MT ENFANT COMPLEMENT,R5P
PRS_NAT,1182,REMUNERATION OPTAM,PTM
PRS_NAT,1183,CONTESTATION OPTAM,CTM
PRS_NAT,1184,CONTRAT INDIVIDUEL EMBAUCHE - SOLDE,COS
PRS_NAT,1185,MURAINE - PAIEMENT DU BONUS ANNUEL,RNB
PRS_NAT,1186,CONTRAT INDIVIDUEL EMBAUCHE   OBJECTIFS COMPLEMENTAIRES,COC
PRS_NAT,1187,CONTRAT COLLECTIF   AIDE INVESTISSEMENT,CCI
PRS_NAT,1188,CONTRAT COLLECTIF   ATTEINTE DES OBJECTIFS,CCA
PRS_NAT,1189,CONTRAT DE FORMATION,COF
PRS_NAT,1190,TELESURVEILLANCE : PRIME VARIABLE,TSP
PRS_NAT,1191,TELECONSULTATION TOUTES SPECIALITES,TC
PRS_NAT,1192,TELECONSULTATION GENERALISTE,TCG
PRS_NAT,1193,TELE EXPERTISE DE NIVEAU 1,TE1
PRS_NAT,1194,TELE EXPERTISE DE NIVEAU 2,TE2
PRS_NAT,1195,FOND INNOVATION - PAIEMENT,A51
PRS_NAT,1196,FORFAIT INNOVATION SYSTEME DE SANTE,FIS
PRS_NAT,1197,FORFAIT REQUERANT,RQT
PRS_NAT,1198,FORFAIT REQUERANT COMPLEMENTAIRE,CRT
PRS_NAT,1199,DEMANDE TELEEXPERTISE,RQD
PRS_NAT,1201,TELESURVEILLANCE 1,TVA
PRS_NAT,1202,TELESURVEILLANCE 2,TVB
PRS_NAT,1203,RDV PREVENTION MEDECIN SAGE-FEMME,RDV
PRS_NAT,1209,VISITE SPECIALISTE MEDECINE GENERALE,VGS
PRS_NAT,1210,VISITE MEDECINE GENERALE,VG
PRS_NAT,1211,VISITE COTEE V,V
PRS_NAT,1212,VISITE COTEE VS,VS
PRS_NAT,1213,VISITE COTEE VNP,VNP
PRS_NAT,1214,VISITE LONGUE ET COMPLEXE,VL
PRS_NAT,1215,AVIS PONCTUEL DE CONSULTANT MEDECIN (VISITE),APV
PRS_NAT,1216,AVIS PONCTUEL DE CONSULTANT PSYCHIATRE (VISITE),AVY
PRS_NAT,1218,VISITE SOINS PALLIATIFS,VSP
PRS_NAT,1221,VISITE D  URGENCE,VA
PRS_NAT,1222,VISITE URGENCE VU/MU,VU
PRS_NAT,1224,MD (CRITERES MEDICAUX),MD
PRS_NAT,1225,MDE ( CRITERES ENVIRONNEMENTAUX),MDE
PRS_NAT,1226,MD DE NUIT,MDN
PRS_NAT,1227,MD  DE MILIEU NUIT,MDI
PRS_NAT,1228,MD  DE DIMANCHE ET JOUR FERIES,MDD
PRS_NAT,1311,ACTES EN K CHIRURGICAL,KC
PRS_NAT,1312,ACTES DE SPECIALITE EN K,K
PRS_NAT,1313,ACTES EN K D  URGENCE,KA
PRS_NAT,1314,FORFAIT CHIRURGIE 1,KFA
PRS_NAT,1315,FORFAIT CHIRURGIE 2,KFB
PRS_NAT,1316,ACTES DE DIAGNOSTIC COTES KE,KE
PRS_NAT,1317,ACTES EN KCC: ACTES SPECIFIQUES DES CHIRURGIENS,KCC
PRS_NAT,1318,ACTE DE PHONIATRIE PAR MEDECIN,KMO
PRS_NAT,1319,MAJORATION FORFAIT ACCOUCHEMENT,KFC
PRS_NAT,1320,"FORFAIT RADIOGRAPHIE,ECHOGRAPHIE",KFD
PRS_NAT,1321,ACTE DE CHIRURGIE CCAM,ADC
PRS_NAT,1322,ACTE D'OBSTETRIQUE CCAM,ACO
PRS_NAT,1323,ACTE D'ANESTHESIE CCAM,ADA
PRS_NAT,1324,ACTE D'ECHOGRAPHIE CCAM,ADE
PRS_NAT,1325,ACTE DE CHIRURGIE CD CCAM,ASC
PRS_NAT,1331,ACTES DE RADIOLOGIE,Z
PRS_NAT,1332,ACTES DE RADIOLOGIE NUCLEAIRE,ZN
PRS_NAT,1333,MAJORATION POUR PRODUIT RADIOPHARMACEUTIQUE,PRA
PRS_NAT,1335,ACTE DE RADIOLOGIE MAMMOGRAPHIE,ZM/ADI
PRS_NAT,1336,ACTE DE RADIOLOGIE MAMMOGRAPHIE DEPISTAGE,ZM DEPISTAGE/ADI
PRS_NAT,1341,ACTES D  ANATOMO-CYTO-PATHOLOGIE/MEDECINS,P
PRS_NAT,1342,MAJORATION ANATOMO-CYTO-PATHOLOGIE,MAP
PRS_NAT,1345,MAJORATION TRANSITOIRE,MTC
PRS_NAT,1351,ACTE D'IMAGERIE (hors ECHOGRAPHIE) CCAM,ADI
PRS_NAT,1352,ACTES TECHNIQUES MEDICAUX  (hors IMAGERIE) CCAM,ATM
PRS_NAT,1353,ACTE D'IMAGERIE CD CCAM,AID
PRS_NAT,1354,ACTE TECHNIQUE MEDICAL CD CCAM,ADM
PRS_NAT,1361,VIDEOCAPSULE,VDC
PRS_NAT,1400,BRIDGE RAC MODERE,BR1
PRS_NAT,1401,PROTHESE FIXE RAC 0,PF0
PRS_NAT,1402,PROTHESE FIXE RAC MODERE,PF1
PRS_NAT,1403,REPARATION FACETTE PROTHESE AMOVIBLE RAC 0,RF0
PRS_NAT,1404,REPARATION ADJONCTION RAC 0,RA0
PRS_NAT,1405,REPARATION PROTHESE ADJOINTE SIMPLE RAC 0,RS0
PRS_NAT,1406,SUPPLEMENT PROTHESE RESINE RAC 0,SU0
PRS_NAT,1407,COURONNE TRANSITOIRE RAC MODERE,CT1
PRS_NAT,1408,COURONNE ZIRCONE RAC MODERE,CZ1
PRS_NAT,1409,INLAY CORE RAC MODERE,IC1
PRS_NAT,1410,INLAY ONLAY RAC MOERE,IN1
PRS_NAT,1411,ACTES EN SCM (ET SPA POUR LA CRPCEN),SCM/SPA
PRS_NAT,1412,PROTHESE AMOVIBLE RAC MODERE,PA1
PRS_NAT,1413,REPARATION PROTHESE RAC MODERE,RE1
PRS_NAT,1414,SUPPLEMENT PROTHESE METALLIQUE RAC MODERE,SU1
PRS_NAT,1415,PROTHESE FIXE METALLIQUE RAC 0,CM0
PRS_NAT,1416,COURONNE TRANSITOIRE RAC 0,CT0
PRS_NAT,1417,COURONNE ZIRCONE RAC 0,CZ0
PRS_NAT,1418,INLAY CORE RAC 0,IC0
PRS_NAT,1419,PROTHESE AMOVIBLE RAC 0,PA0
PRS_NAT,1420,PROTHESE AMOVIBLE DE TRANSITION RAC 0,PT0
PRS_NAT,1421,ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE MEDECIN,PRO
PRS_NAT,1422,TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE MEDECIN (ET EOS POUR LA CRPCEN),ORT/EOS
PRS_NAT,1423,ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE CHIRURGIEN-DENTISTE,SPR
PRS_NAT,1424,TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE CHIRURGIEN-DENTISTE (ET ETO POUR LA CRPCEN),TO/ETO
PRS_NAT,1425,COMPLEMENT AT 150% DENTAIRE,ATD
PRS_NAT,1426,PEC EXCEPTIONNELLE DÉPASSEMENT DENTAIRE ,DDE
PRS_NAT,1427,PEC EXCEPTIONNELLE DEPASSEMENT DENTAIRE TP,DDT
PRS_NAT,1431,ACTES EN D (ET OCC POUR LA CRPCEN),D/OCC
PRS_NAT,1432,ACTES EN DC,DC
PRS_NAT,1433,ACTES EN SC (ET SCA POUR LA CRPCEN),SC/SCA
PRS_NAT,1434,PREVENTION BUCCO-DENTAIRE: CONSULTATION - MATER,BDC
PRS_NAT,1435,PREVENTION BUCCO-DENTAIRE: RADIO DEUX CLICHES-MATER,BR2
PRS_NAT,1436,PREVENTION BUCCO-DENTAIRE: RADIO QUATRE CLICHES-MATER,BR4
PRS_NAT,1437,Majoration spécifique PDS Clinique Dentiste,MCD
PRS_NAT,1438,BUCCO DENT. CONSULTATION COMPLEXE MATERNITE,BDX
PRS_NAT,1439,BUCCO DENT. CONSULTATION ET RADIO PANORAMIQUE MATERNITE,BRP
PRS_NAT,1451,SOINS DENTAIRES,SDE
PRS_NAT,1452,"PROTHESE AMOVIBLE DEFINITIVE RESINE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE RESINE TARIF LIBRE ",PAR
PRS_NAT,1453,PROPHYLAXIE BUCCO DENTAIRE CCAM,AXI
PRS_NAT,1454,CONSULTATION CD,CD
PRS_NAT,1455,CONSULTATION SPECIALISTE CD,CSD
PRS_NAT,1456,VISITE CD,VD
PRS_NAT,1457,VISITE SPECIALISTE CD,VSD
PRS_NAT,1459,INDEMNITE FORFAITAIRE DEPLACEMENT CD,IDD
PRS_NAT,1460,AVIS PONCTUEL DE CONSULTANT CD,ACD
PRS_NAT,1461,ACTES DIVERS PROTHESE DENTAIRE CCAM,ADP
PRS_NAT,1462,"PROTHESE FIXE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE METALLIQUE TARIF LIBRE",PFM
PRS_NAT,1463,PROTHESE DENTAIRE FIXE ESTHETIQUE CCAM,PFE
PRS_NAT,1464,PROTHESE DENTAIRE AMOVIBLE CCAM,PDA
PRS_NAT,1465,IMPLANTOLOGIE - CCAM,IMP
PRS_NAT,1466,TRAITEMENT ORTHOPEDIE DENTO FACIALE CCAM,TOR
PRS_NAT,1467,CONSULTATION COMPLEXE CD,CXD
PRS_NAT,1470,ENDODONTIE,END
PRS_NAT,1471,"INLAY-ONLAY, A partir du 01/04/2019 (en date de soins) INLAY-ONLAY TARIF LIBRE",INO
PRS_NAT,1472,PARODONTOLOGIE,TDS
PRS_NAT,1473,"INLAY-CORE, A partir du 01/04/2019 (en date de soins) INLAY-CORE TARIF LIBRE",ICO
PRS_NAT,1474,"PROTHESE AMOVIBLE DEFINITIVE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE METALLIQUE TARIF LIBRE",PAM
PRS_NAT,1475,"PROTHESE DENTAIRE PROVISOIRE, A partir du 01/04/2019 (en date de soins) COURONNE TRANSITOIRE TARIF LIBRE ",PDT
PRS_NAT,1476,"PROTHESE FIXE CERAMIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE CERAMIQUE TARIF LIBRE",PFC
PRS_NAT,1477,"REPARATION SUR PROTHESE, A partir du 01/04/2019 (en date de soins) REPARATION PROTHESE TARIF LIBRE",RPN
PRS_NAT,1511,FORFAIT D  ACCOUCHEMENT SIMPLE DES SAGES-FEMMES (FORFAIT N91),A
PRS_NAT,1512,FORFAIT D  ACCOUCHEMENT MULTIPLE DES SAGES-FEMMES (FORFAIT N92),AM
PRS_NAT,1521,MAJORATION POUR GARDE,MG
PRS_NAT,1522,MAJORATION ASTREINTE,MA
PRS_NAT,1523,Permanence Rémunération demi-journée Chirurgien-dentiste,PRC
PRS_NAT,1601,CONTRAT PRATIQUE VERSEMENT UNIQUEMENT,CPU
PRS_NAT,1602,FORFAIT CONTRAT DE BONNES PRATIQUES,CBP
PRS_NAT,1603,FORFAIT CONTRAT DE BONNES PRATIQUES CP1,CP1
PRS_NAT,1604,FORFAIT CONTRAT DE BONNES PRATIQUES CP2,CP2
PRS_NAT,1605,FORFAIT CONTRAT DE BONNES PRATIQUES CP3,CP3
PRS_NAT,1606,FORFAIT CONTRAT DE BONNES PRATIQUES,CPL
PRS_NAT,1607,FORFAIT CONTRAT DE SANTE PUBLIQUE INFIRMIER,CSI
PRS_NAT,1608,FORFAIT CONTRAT DE SANTE PUBLIQUE BIOLOGISTES,CSL
