dimension,cle,libelle,detail,nb_val_jan24
PRS_NAT,1162,REMUNERATION DES PRATICIENS TERRITORIAUX DE MEDECINE AMBULATOIRE,RCM,4
PRS_NAT,1168,CONSULTATION PREVENTION SANTE SEXUELLE,CCP,6557
PRS_NAT,1169,REMUNERATION POUR CERTIFICAT DE DECES,RCD,371
PRS_NAT,1170,PEC EXCEPTIONNELLE DÉPASSEMENT HONORAIRE,DHE,13
PRS_NAT,1172,TELESURVEILLANCE : PS EFFECTUANT L'ACCOMPAGNEMENT,TSA,1338
PRS_NAT,1173,FORFAIT PATIENTELE MEDECIN TRAITANT,MTF,25
PRS_NAT,1174,TELESURVEILLANCE : MEDECIN TELESURVEILLANT,TSM,9177
PRS_NAT,1175,PEC EXCEPTIONNELLE DEPASSEMENT HONORAIRE TP,DHT,64
PRS_NAT,1177,AIDE FINANCIERE MATERNITE PATERNITE ADOPTION,AFC,113
PRS_NAT,1178,FORFAIT STRUCT. MEDECIN,P6P,59
PRS_NAT,1182,REMUNERATION OPTAM,PTM,5
PRS_NAT,1183,CONTESTATION OPTAM,CTM,3
PRS_NAT,1187,CONTRAT COLLECTIF   AIDE INVESTISSEMENT,CCI,1
PRS_NAT,1191,TELECONSULTATION TOUTES SPECIALITES,TC,58944
PRS_NAT,1192,TELECONSULTATION GENERALISTE,TCG,155811
PRS_NAT,1193,TELE EXPERTISE DE NIVEAU 1,TE1,93
PRS_NAT,1194,TELE EXPERTISE DE NIVEAU 2,TE2,21986
PRS_NAT,1195,FOND INNOVATION - PAIEMENT,A51,274
PRS_NAT,1196,FORFAIT INNOVATION SYSTEME DE SANTE,FIS,51
PRS_NAT,1199,DEMANDE TELEEXPERTISE,RQD,13563
PRS_NAT,1201,TELESURVEILLANCE 1,TVA,8669
PRS_NAT,1202,TELESURVEILLANCE 2,TVB,6400
PRS_NAT,1210,VISITE MEDECINE GENERALE,VG,88041
PRS_NAT,1211,VISITE COTEE V,V,9216
PRS_NAT,1212,VISITE COTEE VS,VS,1207
PRS_NAT,1213,VISITE COTEE VNP,VNP,341
PRS_NAT,1214,VISITE LONGUE ET COMPLEXE,VL,13735
PRS_NAT,1215,AVIS PONCTUEL DE CONSULTANT MEDECIN (VISITE),APV,1025
PRS_NAT,1216,AVIS PONCTUEL DE CONSULTANT PSYCHIATRE (VISITE),AVY,293
PRS_NAT,1222,VISITE URGENCE VU/MU,VU,7
PRS_NAT,1224,MD (CRITERES MEDICAUX),MD,80568
PRS_NAT,1226,MD DE NUIT,MDN,4163
PRS_NAT,1227,MD  DE MILIEU NUIT,MDI,296
PRS_NAT,1228,MD  DE DIMANCHE ET JOUR FERIES,MDD,3157
PRS_NAT,1311,ACTES EN K CHIRURGICAL,KC,2
PRS_NAT,1312,ACTES DE SPECIALITE EN K,K,40783
PRS_NAT,1318,ACTE DE PHONIATRIE PAR MEDECIN,KMO,743
PRS_NAT,1321,ACTE DE CHIRURGIE CCAM,ADC,191754
PRS_NAT,1322,ACTE D'OBSTETRIQUE CCAM,ACO,3845
PRS_NAT,1323,ACTE D'ANESTHESIE CCAM,ADA,63029
PRS_NAT,1324,ACTE D'ECHOGRAPHIE CCAM,ADE,457972
PRS_NAT,1325,ACTE DE CHIRURGIE CD CCAM,ASC,77646
PRS_NAT,1331,ACTES DE RADIOLOGIE,Z,15208
PRS_NAT,1351,ACTE D'IMAGERIE (hors ECHOGRAPHIE) CCAM,ADI,660671
PRS_NAT,1352,ACTES TECHNIQUES MEDICAUX  (hors IMAGERIE) CCAM,ATM,1010856
PRS_NAT,1353,ACTE D'IMAGERIE CD CCAM,AID,138423
PRS_NAT,1354,ACTE TECHNIQUE MEDICAL CD CCAM,ADM,12506
PRS_NAT,1361,VIDEOCAPSULE,VDC,398
PRS_NAT,1400,BRIDGE RAC MODERE,BR1,1041
PRS_NAT,1402,PROTHESE FIXE RAC MODERE,PF1,7576
PRS_NAT,1403,REPARATION FACETTE PROTHESE AMOVIBLE RAC 0,RF0,169
PRS_NAT,1404,REPARATION ADJONCTION RAC 0,RA0,9967
PRS_NAT,1405,REPARATION PROTHESE ADJOINTE SIMPLE RAC 0,RS0,5820
PRS_NAT,1406,SUPPLEMENT PROTHESE RESINE RAC 0,SU0,154
PRS_NAT,1407,COURONNE TRANSITOIRE RAC MODERE,CT1,9028
PRS_NAT,1408,COURONNE ZIRCONE RAC MODERE,CZ1,7188
PRS_NAT,1409,INLAY CORE RAC MODERE,IC1,7896
PRS_NAT,1412,PROTHESE AMOVIBLE RAC MODERE,PA1,17017
PRS_NAT,1413,REPARATION PROTHESE RAC MODERE,RE1,4620
PRS_NAT,1415,PROTHESE FIXE METALLIQUE RAC 0,CM0,11874
PRS_NAT,1416,COURONNE TRANSITOIRE RAC 0,CT0,28182
PRS_NAT,1417,COURONNE ZIRCONE RAC 0,CZ0,15496
PRS_NAT,1418,INLAY CORE RAC 0,IC0,23216
PRS_NAT,1419,PROTHESE AMOVIBLE RAC 0,PA0,8687
PRS_NAT,1420,PROTHESE AMOVIBLE DE TRANSITION RAC 0,PT0,15581
PRS_NAT,1422,TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE MEDECIN (ET EOS POUR LA CRPCEN),ORT/EOS,1927
PRS_NAT,1424,TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE CHIRURGIEN-DENTISTE (ET ETO POUR LA CRPCEN),TO/ETO,38236
PRS_NAT,1425,COMPLEMENT AT 150% DENTAIRE,ATD,58
PRS_NAT,1426,PEC EXCEPTIONNELLE DÉPASSEMENT DENTAIRE,DDE,4
PRS_NAT,1427,PEC EXCEPTIONNELLE DEPASSEMENT DENTAIRE TP,DDT,4
PRS_NAT,1434,PREVENTION BUCCO-DENTAIRE: CONSULTATION - MATER,BDC,462
PRS_NAT,1435,PREVENTION BUCCO-DENTAIRE: RADIO DEUX CLICHES-MATER,BR2,89
PRS_NAT,1436,PREVENTION BUCCO-DENTAIRE: RADIO QUATRE CLICHES-MATER,BR4,74
PRS_NAT,1437,Majoration spécifique PDS Clinique Dentiste,MCD,4845
PRS_NAT,1438,BUCCO DENT. CONSULTATION COMPLEXE MATERNITE,BDX,4
PRS_NAT,1439,BUCCO DENT. CONSULTATION ET RADIO PANORAMIQUE MATERNITE,BRP,247
PRS_NAT,1452,"PROTHESE AMOVIBLE DEFINITIVE RESINE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE RESINE TARIF LIBRE",PAR,40
PRS_NAT,1453,PROPHYLAXIE BUCCO DENTAIRE CCAM,AXI,118909
PRS_NAT,1454,CONSULTATION CD,CD,79389
PRS_NAT,1455,CONSULTATION SPECIALISTE CD,CSD,16685
PRS_NAT,1457,VISITE SPECIALISTE CD,VSD,15
PRS_NAT,1459,INDEMNITE FORFAITAIRE DEPLACEMENT CD,IDD,13
PRS_NAT,1462,"PROTHESE FIXE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE METALLIQUE TARIF LIBRE",PFM,620
PRS_NAT,1465,IMPLANTOLOGIE - CCAM,IMP,9558
PRS_NAT,1467,CONSULTATION COMPLEXE CD,CXD,2111
PRS_NAT,1470,ENDODONTIE,END,46203
PRS_NAT,1471,"INLAY-ONLAY, A partir du 01/04/2019 (en date de soins) INLAY-ONLAY TARIF LIBRE",INO,5696
PRS_NAT,1472,PARODONTOLOGIE,TDS,17091
PRS_NAT,1474,"PROTHESE AMOVIBLE DEFINITIVE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE METALLIQUE TARIF LIBRE",PAM,32
PRS_NAT,1475,"PROTHESE DENTAIRE PROVISOIRE, A partir du 01/04/2019 (en date de soins) COURONNE TRANSITOIRE TARIF LIBRE",PDT,8900
PRS_NAT,1476,"PROTHESE FIXE CERAMIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE CERAMIQUE TARIF LIBRE",PFC,10626
PRS_NAT,1521,MAJORATION POUR GARDE,MG,208
PRS_NAT,1523,Permanence Rémunération demi-journée Chirurgien-dentiste,PRC,147
PRS_NAT,1617,REDEVANCE CHEF DE CLINIQUE,RCC,10
PRS_NAT,1618,COMPLEMENT DE REMUNERATION CHEF DE CLINIQUE,CRC,1
PRS_NAT,1627,CONTRAT INCITATIF CHIRURGIEN-DENTISTE,CIC,5
PRS_NAT,1640,FORFAIT AIDE A L'INSTALLATION DU MEDECIN - CAIM,CIM,73
PRS_NAT,1642,MAJORATION POUR EXERCICE PARTIEL EN HÔPITAL DE PROXIMITÉ - CAIM,EHP,2
PRS_NAT,1646,AIDE FORFAITAIRE - COSCOM,AIF,2
PRS_NAT,1647,REMUNERATION COMPLEMENTAIRE ACCUEIL DE STAGIAIRE - COSCOM,RMS,4
PRS_NAT,1652,PTMR  -  REMPLACEMENT,RFC,22
PRS_NAT,1654,FORFAIT IPA,IEX,1
PRS_NAT,1704,CDS DENTAIRE OPTANT FORF INITIAL,CDI,2
PRS_NAT,1811,IK PLAINE,IK IKP,215250
PRS_NAT,1812,IK MONTAGNE,IKM,93838
PRS_NAT,1813,IK PIED SKI,IKS,320
PRS_NAT,1821,"ID PARIS LYON MARSEILLE, +100.000 HA, -100.000 HA",ID,6727
PRS_NAT,1844,INDEMNITES FORFAITAIRES DE DEPLACEMENT MK RHUMATISMALE,IFR,6071
PRS_NAT,1845,INDEMNITE FORFAITAIRE DEPLACEMENT NEUROLOGIQUE,IFN,48635
PRS_NAT,1846,INDEMNITES FORFAITAIRES DE DEPLACEMENT MK PNEUMOLOGIE,IFP,14844
PRS_NAT,1847,INDEMNITES FORFAITAIRES DE DEPLACEMENT DE SORTIE,IFS,13827
PRS_NAT,1848,INDEMNITES FORFAITAIRES DEPLACEMENT INFIRMIERS,IFI,164111
PRS_NAT,1849,INDEMNITE FORFAITAIRE DEPLACEMENT MK PERS. AGEE,IFV,8554
PRS_NAT,1901,MAJORATION PERSONNES AGEES,MOP,48863
PRS_NAT,1904,MAJORATION ENFANT PEDIATRE,MEP,15646
PRS_NAT,1906,NOUVEAU FORFAIT PEDIATRIQUE,NFP,12861
PRS_NAT,1907,REMUNERATION DES SOINS DE PROXIMITE,PRX,16
PRS_NAT,1908,FORFAIT SORTIE PRECOCE ET TEST GUTHRIE,SP2,2
PRS_NAT,1909,FORFAIT SORTIE PRECOCE,SP1,6
PRS_NAT,1910,Plan personnalisé de santé,PPS,14
PRS_NAT,1911,ACTES DES SAGES-FEMMES,SF,42130
PRS_NAT,1912,HONORAIRES NON VENTILABLES INDIVIDUALISES,NA,20
PRS_NAT,1913,MAJORATION MILIEU DE NUIT,MM,9441
PRS_NAT,1916,REMUNERATION POUR GARDE ETS PRIVES,RPG,1
PRS_NAT,1920,CONTRAT DEMOGRAPHIQUE SAGE-FEMME,CIS,20
PRS_NAT,1923,EXAMEN DE SUIVI POST NATAL,SP,2957
PRS_NAT,1927,REMUNERATION CPTS,CPT,79
PRS_NAT,1928,REMUNERATION VACCINATION COVID 19,VCO,233
PRS_NAT,1929,ACTE DE VACCINATION COVID 19,VAC,2666
PRS_NAT,1930,ACTE D INJECTION DU VACCIN COVID19,INJ,25384
PRS_NAT,1933,MAJORATION CONSULTATION REGULEE  DE NUIT,CRN,34457
PRS_NAT,1936,MAJORATION VISITE REGULEE  DE NUIT,VRN,9357
PRS_NAT,1937,MAJORATION VISITE REGULEE MILIEU DE NUIT,VRM,5217
PRS_NAT,1938,"MAJORATION VISITE REGULEE DE DIMANCHE, JOURS FERIES ET ASSIMILES",VRD,7757
PRS_NAT,1939,MAJORATION SAGE-FEMME,MSF,51192
PRS_NAT,1940,FORFAIT SORTIE PRECOCE,DSP,728
PRS_NAT,1941,MAJORATION CONSULTATION REGULEE SAMEDI APRES MIDI,CRS,10699
PRS_NAT,1943,MAJORATION URGENCE MT,MUT,7337
PRS_NAT,1944,MAJORATION CORRESPONDANT URGENCE,MCU,23912
PRS_NAT,1945,MAJORATION MEDECIN TRAITANT REGULATION,MRT,1539
PRS_NAT,1948,FORFAIT DE SURVEILLANCE SF,FMN,31
PRS_NAT,1949,MAJORATION DE SURVEILLANCE SF,MS,62
PRS_NAT,1951,PARTICIPATION FORFAITAIRE HORS TIERS PAYANT,PFH,541278
PRS_NAT,1952,PARTICIPATION FORFAITAIRE TIERS PAYANT,PFT,1843482
PRS_NAT,1955,PARTICIPATION ASSURE CONSULTATIONS ET SOINS EXTERNES (REGIME LOCAL),PAL,113
PRS_NAT,1956,PARTICIPATION ASSURE EN AMBULATOIRE,PAP,47582
PRS_NAT,1957,MAJORATION HORS PARCOURS DE SOINS,TMT,81979
PRS_NAT,1960,SUPPLEMENT DEROGATOIRE SG SUR ACTE PROFESSIONNEL NON REMBOURSABLE (CNMSS),SGA,1
PRS_NAT,1961,SUPPLEMENT DEROGATOIRE SG SUR ACTE PROFESSIONNEL REMBOURSABLE (CNMSS),DAP,100
PRS_NAT,1962,VACATION MEDECIN VACCINATION COVID 19,VMR,85
PRS_NAT,1971,FRANCHISE HORS TIERS PAYANT SUR MEDICAMENT,FRH,69169
PRS_NAT,1973,FRANCHISE HORS TIERS PAYANT SUR TRANSPORT,FRH,3869
PRS_NAT,1974,FRANCHISE TIERS PAYANT SUR TRANSPORT,FRT,269419
PRS_NAT,1975,FRANCHISE HORS TIERS PAYANT ACTE D'AUXILIAIRE MEDICAUX,FRH,163025
PRS_NAT,1976,FRANCHISE TIERS PAYANT ACTE D'AUXILIAIRE MEDICAUX,FRT,1307191
PRS_NAT,1977,PARTICIPATION ASSURE HORS TIERS PAYANT TRANSMISE SANS ACTE DE REFERENCE OU TYPE DE FRANCHISES,FRH,1
PRS_NAT,1981,FORFAIT IVG HONORAIRES DE VILLE,FHV,2241
PRS_NAT,1982,VACCINATION HPV 1ERE DOSE,HP1,210
PRS_NAT,1983,VACCINATION HPV 2EME DOSE,HP2,132
PRS_NAT,1990,FORFAIT D'INTERVENTION PAR SORTIE SUR DEMANDE DE LA REGULATION,FIM,20
PRS_NAT,1991,REMUNERATION REGULATION,REG,110
PRS_NAT,1992,PERMANENCE REMUNERATION DE NUIT,PRN,372
PRS_NAT,1993,PERMANENCE REMUNERATION MILIEU DE NUIT,PRM,168
PRS_NAT,1994,PERMANENCE REMUNERATION DIMANCHE ET FERIE,PRD,333
PRS_NAT,1995,PERMANENCE REMUNERATION TOTAL,PRT,16
PRS_NAT,1996,PERMANENCE REMUNERATION SAMEDI MATIN,RSA,19
PRS_NAT,1997,PERMANENCE REMUNERATION SAMEDI APRES MIDI,RSP,267
PRS_NAT,1998,ASTREINTE DE JOUR CORRESPONDANT SAMU,AJS,13
PRS_NAT,1999,ASTREINTE DE NUIT CORRESPONDANT SAMU,ANS,12
PRS_NAT,2100,FORFAIT ENVIRONNEMENT HOSPITALIER 7,SE7,319
PRS_NAT,2103,SUPPLEMENT TRANSPORT PERMISSION THERAPEUTIQUE (PSY/SSR),ST3,63
PRS_NAT,2105,SUPPLEMENT TRANSPORT DEFINITIF (PSY/SSR),ST1,783
PRS_NAT,2106,TRANSPORT DEFINITIF DIALYSE,TDD,69
PRS_NAT,2107,TRANSPORT SEANCE DIALYSE,TSD,101
PRS_NAT,2108,SUPPLEMENT TRANSPORT 2,TDE,6361
PRS_NAT,2109,SUPPLEMENT TRANSPORT SEANCES,TSE,990
PRS_NAT,2111,FRAIS D HEBERGEMENT ET ENVIRONNEMENT EN GHS,GHS,84075
PRS_NAT,2112,FRAIS DE SEJOUR SUPPLEMENTAIRE AU GHS,EXH,2802
PRS_NAT,2113,GROUPE HOMOGENE DE TARIFS,GHT,6507
PRS_NAT,2116,SUPPLEMENT NEONATOLOGIE 1,NN1,359
PRS_NAT,2119,SUPPLEMENT DEFIBRILLATEUR,SDC,2
PRS_NAT,2120,DIFFERENTIEL TARIFAIRE CLINIQUE,DTC,97
PRS_NAT,2134,FORFAIT D AUTODIALYSE SIMPLE,D12,87
PRS_NAT,2135,FORFAIT D AUTODIALYSE ASSISTEE,D13,2156
PRS_NAT,2138,FORFAIT DE DIALYSE PERITONEALE CONTINUE AMBULATOIRE (DPCA),D16,930
PRS_NAT,2141,FRAIS DE CHAMBRE PARTICULIERE POUR CONVENANCE PERSONNELLE,CPC,3124
PRS_NAT,2143,FF D ENTRAINEMENT A LA DIALYSE PERITONEALE AUTOMATISEE A DOMICILE,D20,51
PRS_NAT,2144,FF D ENTRAINEMENT A LA DIALYSE PERITONEALE CONTINUE AMBULATOIRE A DOMICILE,D21,88
PRS_NAT,2145,FORFAIT DE DIALYSE PERITONEALE AUTOMATISE POUR HOSPITALISATION DE 3 A 6 JOURS,D22,43
PRS_NAT,2146,FORFAIT DE DIALYSE PERITONEALE CONTINUE AMBULATOIRE POUR HOSPITALISATION DE 3 A 6 JOURS,D23,78
PRS_NAT,2147,FORFAIT D'ENTRAINEMENT A L'HEMODIALYSE EN UNITE DE DIALYSE MEDICALISEE,D24,303
PRS_NAT,2150,VIDEOCAPSULE,VDE,968
PRS_NAT,2153,FORFAIT SOINS INTENSIFS,STF,4198
PRS_NAT,2155,FORFAIT ENVIRONNEMENT HOSPITALIER 1,SE1,9909
PRS_NAT,2156,FORFAIT ENVIRONNEMENT HOSPITALIER 2,SE2,10537
PRS_NAT,2157,FORFAIT ENVIRONNEMENT HOSPITALIER 3,SE3,1608
PRS_NAT,2158,FORFAIT ENVIRONNEMENT HOSPITALIER 4,SE4,744
PRS_NAT,2159,FORFAIT DE SECURITE DERMATOLOGIQUE,FSD,30034
PRS_NAT,2161,FORFAIT MISSION D INTERET GENERAL D AIDE A LA CONTRACTUALISATION,MGC,540
PRS_NAT,2163,SUPPLEMENT JOURNALIER DIALYSE PERITONEALE,DIP,12
PRS_NAT,2164,ADMINISTRATION DE PRODUITS ET PRESTATIONS EN ENVIRONNEMENT HOSPITALIER,APE,75
PRS_NAT,2167,FORFAIT ENVIRONNEMENT HOSPITALIER 5,SE5,471
PRS_NAT,2168,FORFAIT ENVIRONNEMENT HOSPITALIER 6,SE6,1070
PRS_NAT,2169,DOTATION POPULATIONNELLE PSY,DP2,119
PRS_NAT,2176,DIFFERENTIEL SSR REGLEMENTAIRE,DSC,49
PRS_NAT,2180,DIFFERENTIEL TARIFAIRE FIDES,DTF,1
PRS_NAT,2184,COORDINATION PRELEVEMENT D ORGANES,CPO,2
PRS_NAT,2192,DOTATION POPULATIONNELLE SSR,DP1,66
PRS_NAT,2195,SUPPLEMENT ANTEPARTUM,ANT,127
PRS_NAT,2198,DOTATION QUALITE CODAGE,DAY,39
PRS_NAT,2211,FRAIS DE SEJOUR,PJ,34129
PRS_NAT,2212,MAJORATION PMSI,PMS,25093
PRS_NAT,2213,FRAIS DE SEJOUR IME,PJE,2124
PRS_NAT,2218,REORIENTATION URGENCE 1,RU1,2
PRS_NAT,2221,SUPPLEMENT CHAMBRE PARTICULIERE,SHO,1618
PRS_NAT,2230,PRIX DE JOURNEE REGIME LOCAL,PJL,4806
PRS_NAT,2231,FORFAIT PHARMACEUTIQUE,PHJ,10052
PRS_NAT,2234,FORFAIT D  ENTREE,ENT,7134
PRS_NAT,2237,TM PJ - PART OC,PJC,45497
PRS_NAT,2238,FORFAIT D ACCUEIL ET DE TRAITEMENT DES URGENCES,ATU,3891
PRS_NAT,2239,FORFAIT ANNUEL D URGENCE,FAU,137
PRS_NAT,2240,TARIF JOURNALIER COMPLEMENTAIRE,TJC,158
PRS_NAT,2248,Forfait Innovation HIFU,I01,31
PRS_NAT,2249,FORFAIT ACTIVITE ISOLE,FAI,2
PRS_NAT,2250,FORFAIT JOURNALIER - PART OC,FJC,77491
PRS_NAT,2251,FORFAIT JOURNALIER,FJ,79727
PRS_NAT,2252,FORFAIT JOURNALIER DE SORTIE,FJA/FJR/FRL,85104
PRS_NAT,2253,TARIF JOURNALIER PRESTATIONS,TJP,7
PRS_NAT,2256,FORFAIT INNOVATION ECLIPS,I13,1
PRS_NAT,2258,FORFAIT DE SOINS JOURNALIER,FSJ,22
PRS_NAT,2264,FORFAIT IFAQ SSR,IFZ,70
PRS_NAT,2265,DOTATION MODULEE A L'ACTIVITE,DMA,26
PRS_NAT,2280,FORFAIT IFAQ PSY,IFY,52
PRS_NAT,2281,FORFAIT PATIENT URGENCE,FPU,51121
PRS_NAT,2283,PARTICIPATION ASSURE HOSPITALISATION PUBLIQUE (C2S + AME),PAH,12770
PRS_NAT,2284,PARTICIPATION ASSURE HOSPITALISATION PUBLIQUE (REGIME LOCAL),PAJ,2207
PRS_NAT,2286,FORFAIT PATIENT URGENCE RO,FPX,2425
PRS_NAT,2288,FORFAIT INNOVATION ONCOGRAMME,I14,76
PRS_NAT,2290,FORFAIT JOURNALIER RL PRIVE,FLP,230
PRS_NAT,2294,DOTATION QUALITE URGENCE,DQU,1
PRS_NAT,2297,FORFAIT PATIENT URGENCE MINORE,FPV,26157
PRS_NAT,2298,FORFAIT URGENCE MINORE ALM,FPM,2217
PRS_NAT,2309,COMPLEMENT FORFAIT URGENCE,CFU,8513
PRS_NAT,2321,FORFAIT - LONG SEJOUR PERSONNES AGEES,FPA/FS,2
PRS_NAT,2331,RADIUMTHERAPIE ET CHIMIOTHERAPIE,SNS,69
PRS_NAT,2332,READAPTATION FONCTIONNELLE,RF/SNS,125
PRS_NAT,2336,FORFAIT POUR CONSULTATION EN CENTRE MEDICO-PSYCHO PEDAGOGIQUE,SNS,756
PRS_NAT,2339,AUTRES FORFAITS DIVERS (Y COMPRIS NUTRITION ENTERALE A DOMICILE),FS/SNS,11074
PRS_NAT,2342,FORFAIT POUR GARDE DE DEBUT DE NUIT EN ETABLIS. PRIVE,RGD,85
PRS_NAT,2343,FORFAIT POUR GARDE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE,RGN,236
PRS_NAT,2344,FORFAIT DE GARDE NUIT ET FERIE EN ETABLIS. PRIVE,FPG,240
PRS_NAT,2346,FORFAIT POUR ASTREINTE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE,RAG,422
PRS_NAT,2347,FORFAIT D'ASTREINTE NUIT ET FERIE EN ETABLIS. PRIVE,FPA,448
PRS_NAT,2352,FORFAIT TECHNIQUE REDUIT IRMN -SCANNERS,FTR,55890
PRS_NAT,2354,FORFAIT TECHNIQUE TOMOGRAPHIE,FTG,115
PRS_NAT,2391,FORFAIT TECHNIQUE TARIF REDUIT N°2,FR2,10076
PRS_NAT,2392,FORFAIT TECHNIQUE TARIF REDUIT N°3,FR3,12994
PRS_NAT,2411,INTERVENTION IVG,IG,134
PRS_NAT,2412,ANESTHESIE GENERALE,IGA,118
PRS_NAT,2413,INVESTIGATIONS BIOLOGIQUES,IGB,11
PRS_NAT,2414,CONSULTATION IVG,IC,1832
PRS_NAT,2415,MEDICAMENTS: MIFEYGINE,IGM,199
PRS_NAT,2416,MEDICAMENTS: PROSTAGLANDINES,IGP,192
PRS_NAT,2418,VERIFICATION ECHOGRAPHIQUE,IVE,1057
PRS_NAT,2419,FORFAIT INTERVENTION AMBULATOIRE,IMD,132
PRS_NAT,2420,FORFAIT INTERVENTION DUREE < OU = 12 H PRIVE MEDIC,IMI,177
PRS_NAT,2422,FORFAIT POUR IVG MEDICAMENTEUSE,AMF,136
PRS_NAT,2423,FORFAIT INTERVENTION AVEC NUITEE,IPD,16
PRS_NAT,2426,CONSULTATION IVG SPECIALISTE,ICS,1132
PRS_NAT,2428,ECHO PRE IVG,IPE,1921
PRS_NAT,3101,FORFAIT STRUCTURE PS AUXILIAIRES,FSA,11
PRS_NAT,3102,CONTESTATION FORFAIT STRUCTURE PS AUXILIAIRES,FSC,56
PRS_NAT,3103,TELECONSULTATION LORS D'UN SOIN,TLS,396
PRS_NAT,3105,TELECONSULTATION DOMICILE,TLD,436
PRS_NAT,3106,SOINS INFIRMIERS EXTERNALISES (PEC LOURDE),BSC,44751
PRS_NAT,3107,SOINS INFIRMIERS EXTERNALISES (PEC INTERMEDIAIRE),BSB,69060
PRS_NAT,3108,SOINS INFIRMIERS EXTERNALISES (PEC LEGERE),BSA,89986
PRS_NAT,3110,CONTRAT INCITATIF INFIRMIER,CII,16
PRS_NAT,3112,ACTES INFIRMIERS DE SOINS,AIS,89749
PRS_NAT,3113,ACTES INFIRMIERS DES SAGES-FEMMES (SFI),SFI,7686
PRS_NAT,3115,BILAN DE SOINS INFIRMIERS,DI,21908
PRS_NAT,3117,MAJORATION DE COORDINATION ET D'ENVIRONNEMENT DE SOIN INFIRMIER,MCI,121064
PRS_NAT,3118,INDEMNISATION VACATION INFIRMIERS,VGI,173
PRS_NAT,3120,SOINS INFIRMIERS EXTERNALISES,AMX,73977
PRS_NAT,3122,ACTES EN AMK,AMK,327334
PRS_NAT,3124,FORFAIT TROUBLES NEURO-DEVELOPPEMENT,FTD,519
PRS_NAT,3125,ACTES DE KINESITHERAPIE OSTEO-ARTICULAIRE,AMS,610823
PRS_NAT,3126,CONTRAT DEMOGRAPHIQUE KINE,CIK,43
PRS_NAT,3129,PRATIQUE AVANCEE INFIRMIER MIP,MIP,883
PRS_NAT,3130,PRATIQUE AVANCEE INFIRMIER PAI,PAI,9591
PRS_NAT,3131,ACTES DES PEDICURES,AMP,4173
PRS_NAT,3132,ACTES DES ORTHOPHONISTES,AMO,133939
PRS_NAT,3133,ACTES DES ORTHOPTISTES,AMY,149041
PRS_NAT,3135,FORFAIT EVALUATION DOMICILE HANDICAP,FOT,64
PRS_NAT,3136,MAJORATION ENFANT - ORTHOPHONIE,MEO,4887
PRS_NAT,3138,FORFAIT EVALUATION DOMICILE HANDICAP - ORTHOPHONIE,FOH,8074
PRS_NAT,3139,CONTRAT INCITATIF ORTHOPHONISTE,CIO,11
PRS_NAT,3140,TELESOINS INFIRMIERS,TMI,796
PRS_NAT,3142,TELESOINS ORTHOPHONISTES,TMO,3813
PRS_NAT,3143,TELESOINS ORTHOPTISTES,TMY,545
PRS_NAT,3144,VACATION HORS MEDECINS VACCI COVID19,VIR,716
PRS_NAT,3166,RDV PREVENTION INFIRMIER,RDI,13
PRS_NAT,3211,ACTES DE BIOLOGIE,B,1198763
PRS_NAT,3213,FORFAIT PREALABLE BIOLOGIE IVG VILLE,FPB,757
PRS_NAT,3216,FORFAIT ULTERIEUR BIOLOGIE IVG VILLE,FUB,680
PRS_NAT,3221,PRELEVEMENT,KB,28349
PRS_NAT,3225,PRELEVEMENT PAR PONCTION VEINEUSE DIRECTE POUR UN MEDECIN BIOLOGISTE,KMB,24403
PRS_NAT,3304,PAIEMENT QUALITE DE SERVICE PHARMACIE,PQS,1
PRS_NAT,3305,CONTESTATION QUALITE DE SERVICE PHARMACIE,CQS,1
PRS_NAT,3308,CODE TRACEUR TELECONSULTATION,TLM,24949
PRS_NAT,3310,BILAN MEDICATION PARTAGE,BMI,683
PRS_NAT,3311,PHARMACIE 100%,PH1,94436
PRS_NAT,3312,PHARMACIE PH4,PH4/PG4,797371
PRS_NAT,3313,PHARMACIE 65%,PH7/PG7,1837484
PRS_NAT,3315,MEDICAMENTS ANTIRETROVIRAUX,MX4/PH7,26161
PRS_NAT,3317,PHARMACIE HOSPITALIERE A 100%,PHH,27696
PRS_NAT,3318,PHARMACIE HOSPITALIERE A 65%,PHS,7946
PRS_NAT,3319,PHARMACIE HOSPITALIERE,PHQ,94
PRS_NAT,3322,MAJORATION POUR ACHAT HORS HEURES OUVRABLES,UPH,89734
PRS_NAT,3324,ECART MEDICAMENT INDEMNISABLE,EMI,3632
PRS_NAT,3326,PREPARATION MAGISTRALE REMBOURSABLE,PMR,67610
PRS_NAT,3329,FORFAIT MEDICAMENT IVG VILLE,FMV,2208
PRS_NAT,3330,ECART INDEMNISABLE RETROCESSION,ERI,11628
PRS_NAT,3331,VACCIN ANTI-GRIPPE,PH7/ANTI GRIPPE,34755
